epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.511,0.82211,1.11023,0.94622,0.97197,0.7318,0.75967,0.61352,0.72363,0.4806,0.95107,0.000416123,0.000416123,0.000416123
2,224.914,0.79762,0.56989,0.94075,0.74742,0.77334,0.75523,0.61888,0.70554,0.43479,0.9706,0.0008163,0.0008163,0.0008163
3,341.791,0.79183,0.51065,0.94631,0.8365,0.8491,0.88342,0.70941,0.71949,0.43871,0.96788,0.00119998,0.00119998,0.00119998
4,442.56,0.79972,0.49815,0.94607,0.98157,0.90185,0.94552,0.76241,0.72364,0.42551,0.96412,0.00117575,0.00117575,0.00117575
5,544.937,0.79183,0.47855,0.94611,0.92117,0.85714,0.91348,0.71292,0.76006,0.42421,0.99122,0.001151,0.001151,0.001151
6,642.961,0.77737,0.46806,0.94361,0.89566,0.85808,0.9062,0.73195,0.69558,0.39462,0.97951,0.00112625,0.00112625,0.00112625
7,741.319,0.77816,0.45944,0.943,0.85997,0.91612,0.92183,0.74727,0.71716,0.41089,0.97403,0.0011015,0.0011015,0.0011015
8,842.18,0.76773,0.44968,0.94188,0.88575,0.93297,0.93063,0.73985,0.7163,0.40179,0.99209,0.00107675,0.00107675,0.00107675
9,936.203,0.75676,0.44488,0.93598,0.94663,0.8636,0.93661,0.75438,0.73621,0.39503,0.98179,0.001052,0.001052,0.001052
10,1036.23,0.75293,0.43499,0.93493,0.97479,0.95052,0.95839,0.79884,0.67831,0.37726,0.97006,0.00102725,0.00102725,0.00102725
11,1137.46,0.74646,0.43089,0.93946,0.82019,0.94123,0.89473,0.72263,0.69704,0.3843,0.98034,0.0010025,0.0010025,0.0010025
12,1247.85,0.74553,0.42505,0.93573,0.8475,0.88237,0.88746,0.73652,0.67239,0.37246,0.96755,0.00097775,0.00097775,0.00097775
13,1362.14,0.74557,0.42611,0.93408,0.98098,0.94259,0.96059,0.78439,0.66639,0.36865,0.9601,0.000953,0.000953,0.000953
14,1468.51,0.73293,0.4135,0.93004,0.86762,0.93882,0.94314,0.77608,0.66573,0.36346,0.96254,0.00092825,0.00092825,0.00092825
15,1575.42,0.73297,0.41071,0.9282,0.91706,0.89448,0.92927,0.75477,0.69487,0.36624,0.97707,0.0009035,0.0009035,0.0009035
16,1682.33,0.72642,0.40781,0.9286,0.94527,0.93109,0.93759,0.7654,0.67915,0.36391,0.9671,0.00087875,0.00087875,0.00087875
17,1788.91,0.72397,0.40564,0.92266,0.87548,0.91009,0.91619,0.75311,0.65875,0.35161,0.95221,0.000854,0.000854,0.000854
18,1895.48,0.72282,0.40538,0.92577,0.88257,0.91145,0.95198,0.78183,0.66463,0.35326,0.96514,0.00082925,0.00082925,0.00082925
19,2004.88,0.71224,0.39721,0.92471,0.88962,0.91855,0.9539,0.78354,0.67415,0.3588,0.96842,0.0008045,0.0008045,0.0008045
20,2123.73,0.71182,0.39259,0.92267,0.92875,0.92625,0.95992,0.7945,0.65057,0.33862,0.9583,0.00077975,0.00077975,0.00077975
21,2230.46,0.70881,0.39477,0.91912,0.87046,0.94338,0.93554,0.78375,0.66178,0.34865,0.97077,0.000755,0.000755,0.000755
22,2328.12,0.7101,0.38805,0.92328,0.93676,0.92038,0.93984,0.75943,0.65029,0.33219,0.96516,0.00073025,0.00073025,0.00073025
23,2423.51,0.70441,0.38942,0.92328,0.92382,0.94141,0.95109,0.79448,0.64315,0.33368,0.95051,0.0007055,0.0007055,0.0007055
24,2518.22,0.7,0.38219,0.91637,0.87848,0.92105,0.9599,0.80463,0.63926,0.33318,0.95088,0.00068075,0.00068075,0.00068075
25,2611.66,0.69648,0.38347,0.91785,0.90713,0.92682,0.96124,0.80159,0.64715,0.33034,0.95835,0.000656,0.000656,0.000656
26,2706.46,0.70043,0.3764,0.91687,0.92074,0.92007,0.96313,0.78698,0.6401,0.32686,0.95168,0.00063125,0.00063125,0.00063125
27,2802.44,0.69767,0.37675,0.9143,0.9061,0.92554,0.95649,0.78552,0.63674,0.32249,0.94928,0.0006065,0.0006065,0.0006065
28,2897.93,0.68764,0.37295,0.91282,0.89035,0.93188,0.94546,0.7918,0.64076,0.31961,0.9549,0.00058175,0.00058175,0.00058175
29,2990.64,0.68425,0.36947,0.91755,0.9089,0.91229,0.96145,0.79451,0.64738,0.32307,0.95928,0.000557,0.000557,0.000557
30,3085.46,0.68627,0.37096,0.9138,0.91282,0.93164,0.95989,0.80409,0.63621,0.31923,0.95442,0.00053225,0.00053225,0.00053225
31,3181.03,0.67787,0.36296,0.90841,0.91947,0.91727,0.94939,0.7896,0.63474,0.312,0.95154,0.0005075,0.0005075,0.0005075
32,3276.68,0.67216,0.36023,0.90887,0.9235,0.91802,0.96552,0.80866,0.62727,0.3123,0.94858,0.00048275,0.00048275,0.00048275
33,3370.31,0.67835,0.36213,0.91451,0.90679,0.93018,0.96015,0.80467,0.63037,0.3092,0.94764,0.000458,0.000458,0.000458
34,3464.03,0.67426,0.35657,0.90827,0.96101,0.91458,0.96988,0.81717,0.62651,0.30825,0.94644,0.00043325,0.00043325,0.00043325
35,3566.31,0.67211,0.35604,0.90541,0.96715,0.92089,0.96423,0.80755,0.6333,0.31011,0.94655,0.0004085,0.0004085,0.0004085
36,3670.59,0.66745,0.35301,0.90689,0.95621,0.92051,0.96152,0.80439,0.63773,0.31114,0.94973,0.00038375,0.00038375,0.00038375
37,3773.03,0.65812,0.3477,0.9033,0.97757,0.92488,0.96459,0.81105,0.62783,0.30487,0.94468,0.000359,0.000359,0.000359
38,99.0532,0.65935,0.34851,0.91283,0.92315,0.91601,0.96101,0.80113,0.62623,0.30359,0.95112,0.00033425,0.00033425,0.00033425
39,197.257,0.6588,0.34647,0.90876,0.92368,0.93204,0.96013,0.8088,0.62898,0.30394,0.95119,0.0003095,0.0003095,0.0003095
40,293.91,0.65295,0.34044,0.90995,0.9382,0.94244,0.95791,0.80425,0.62397,0.30138,0.95114,0.00028475,0.00028475,0.00028475
41,414.05,0.63786,0.32868,0.90613,0.92987,0.93099,0.96741,0.81013,0.63277,0.30437,0.95462,0.00026,0.00026,0.00026
42,508.203,0.63287,0.32342,0.9048,0.94669,0.92034,0.96736,0.81533,0.62936,0.30371,0.95404,0.00023525,0.00023525,0.00023525
43,599.879,0.62989,0.32266,0.9035,0.94018,0.93144,0.96152,0.8057,0.63052,0.30291,0.95322,0.0002105,0.0002105,0.0002105
44,691.972,0.62559,0.31763,0.90399,0.94832,0.93962,0.96379,0.81453,0.62986,0.30152,0.95298,0.00018575,0.00018575,0.00018575
45,785.465,0.62167,0.31613,0.89896,0.94184,0.94134,0.96446,0.81143,0.63161,0.30091,0.95306,0.000161,0.000161,0.000161
46,878.796,0.61807,0.31176,0.89761,0.9286,0.93909,0.97015,0.82043,0.6313,0.30066,0.95374,0.00013625,0.00013625,0.00013625
47,972.136,0.61653,0.3079,0.89659,0.93844,0.94177,0.96734,0.81372,0.62843,0.29908,0.95197,0.0001115,0.0001115,0.0001115
48,1067.24,0.61484,0.30757,0.89403,0.93674,0.9417,0.95243,0.80259,0.63532,0.2999,0.95442,8.675e-05,8.675e-05,8.675e-05
49,1161.88,0.61144,0.30594,0.89253,0.934,0.9372,0.96269,0.80984,0.63485,0.29952,0.9541,6.2e-05,6.2e-05,6.2e-05
50,1254.44,0.60826,0.3021,0.89185,0.93285,0.93623,0.96301,0.80884,0.63536,0.29811,0.95426,3.725e-05,3.725e-05,3.725e-05
