quant_image	subset	resized_width	source	label
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_000.png	澳	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/special/澳/train/000334125.jpg	粤E3EDV澳
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_001.png	hard	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/hard/train/000079404.jpg	辽X23427D
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_002.png	澳	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/special/澳/train/粤Z0933澳.jpg	粤Z0933澳
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_003.png	使	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/special/使/train/000063133.jpg	999615使
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_004.png	hard	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/hard/train/000108645.jpg	青J81724F
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_005.png	港	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/special/港/train/000025214.jpg	粤JHGXG港
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_006.png	使	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/special/使/train/000299302.jpg	884742使
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_007.png	警	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/special/警/train/crpd_white_single_train_66_0214_0_2a6a954c.jpg	川A4607警
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_008.png	澳	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/special/澳/train/000373907.jpg	粤GLHJS澳
/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/2_Model_Conversion_PC_Simulation/PPOCR/model/quant_images/quant_009.png	学	128	/mnt/hgfs/Yolo_LPR_RK3568_FPGA_Project/1_PC_Training/datasets/CBLPRD-330k/CBLPRD/special/学/train/000052870.jpg	蒙L66CT学
