index	selection_bucket	source_kind	source_split	source_partition	class_ids	source_image	output_image	source_sha256	source_width	source_height	scale	pad_left	pad_top
0	blue	old	train	train	0	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_53_0489.jpg	finetune_quant_dataset/quant_0000.jpg	76C996D713C60642440573573A9AC1B056393241B92894BFB5B65986FA0B4D3F	1600	1200	0.4	0	80
1	yellow_single	old	train	train	2	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_1 (736).jpg	finetune_quant_dataset/quant_0001.jpg	F8ECDBDD7ED947FFDD1A5D376121235519848DC38E0D840097B834D8251E9380	1628	1236	0.39312039312	0	77
2	blue	old	train	train	0,0	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_60_0765.jpg	finetune_quant_dataset/quant_0002.jpg	D08A73E2B5E3FB2BC322D133A5328447D00A34FDEF0F3FDDD0F264C58E34F3B4	1920	1080	0.333333333333	0	140
3	other_all	special	val	警用车牌	3	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\特殊车牌\image\警用车牌\粤C0702警.jpg	finetune_quant_dataset/quant_0003.jpg	88836613BEBF0AE9F544952DA103421C2C588C9D830F4BFFA039088053230EA9	1600	1200	0.4	0	80
4	other_all	special	test	警用车牌	3	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\特殊车牌\image\警用车牌\粤T0B12警.jpg	finetune_quant_dataset/quant_0004.jpg	AA281DC8A42F103083E5A754646F33D1734C7D2BC8B1566B832DCCD7D1DF6B90	1600	1200	0.4	0	80
5	other_all	old	train	train	3	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_66_0558.jpg	finetune_quant_dataset/quant_0005.jpg	1294D41097038C2709F16F087B190F03DAE1704CF1F31FF94D717429AFF49C54	1920	1080	0.333333333333	0	140
6	blue	old	train	train	0	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\ccpd_blue_ccpd_tilt_0281-15_24-236&490_414&622-414&622_251&578_236&490_399&534-0_16_19_27_27_24_25-53-19.jpg	finetune_quant_dataset/quant_0006.jpg	7F7E9C7CF3E7D8C595D56D32FFEB58C7750CAFCB8C1A40A375E8E317C69CF212	720	1160	0.551724137931	121	0
7	other_all	special	train	教练车牌	3	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\特殊车牌\image\教练车牌\粤S7877学.jpg	finetune_quant_dataset/quant_0007.jpg	DEAB7D6F64DF50FA2B757C9DF9676F0184DD3FD0ACBD9D1C758E1F4D6DD82B09	1600	1200	0.4	0	80
8	blue	old	train	train	0	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\ccpd_blue_ccpd_blur_0375-1_16-261&419_557&525-557&525_286&517_261&419_532&427-0_0_10_11_24_25_32-149-2.jpg	finetune_quant_dataset/quant_0008.jpg	E32EE5C0B392A282BA8D041B7D952F43F93604CC40A59A897EC4EDB40C66CD73	720	1160	0.551724137931	121	0
9	other_all	special	train	教练车牌	3	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\特殊车牌\image\教练车牌\粤C2856学.jpg	finetune_quant_dataset/quant_0009.jpg	412CCF999DF82CFE8B55242DCE29FE34FEC3A20B9DF36201E1A70552C44A8A8F	1600	1200	0.4	0	80
10	green	old	train	train	1	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\ccpd_green_train_30175-93_95-260&509_484&588-484&588_266&575_260&509_482&520-0_0_3_17_25_28_25_26-192-27.jpg	finetune_quant_dataset/quant_0010.jpg	27CCEC4BACC7E4B13E9D01A62EBF124773A21063C22840E7B216BEEBDD5E0450	720	1160	0.551724137931	121	0
11	yellow_single	old	train	train	2	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_54_0116.jpg	finetune_quant_dataset/quant_0011.jpg	96B58B56C48DE27FC9B96893FF76ECC12E23F1AC1A273E81FC196A71EED8F48E	1920	1080	0.333333333333	0	140
12	green	old	train	train	1	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\ccpd_green_train_01267578125-88_267-212&511_410&575-410&567_216&575_212&520_410&511-0_0_3_24_33_30_27_27-119-16.jpg	finetune_quant_dataset/quant_0012.jpg	2C4EEAD03C8A2B5D1B9BC9FB8AE6BD8574870DF212AAA64DBCEB43272CA8F1E6	720	1160	0.551724137931	121	0
13	yellow_single	old	train	train	2	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_1 (947).jpg	finetune_quant_dataset/quant_0013.jpg	8E78362F9454400F92AB9FD6DCAF35E6883D084090FFE1110700D867139255A7	1628	1236	0.39312039312	0	77
14	blue	old	train	train	0,2	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_54_0806.jpg	finetune_quant_dataset/quant_0014.jpg	CB092E9A7233D23D965D5F1AFB8CD72498EBE0EFBF84A3056E57CDF15CB6DF4C	1920	1080	0.333333333333	0	140
15	other_all	old	train	train	3	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_66_0889.jpg	finetune_quant_dataset/quant_0015.jpg	BB9A4169EA366618F9D7C6D597720DBE5DC36131BF14EFB3ED8BD51AE33514D6	1920	1080	0.333333333333	0	140
16	yellow_single	old	train	train	2	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\crpd_45_0194.jpg	finetune_quant_dataset/quant_0016.jpg	96120D95BA3981A41ECE2B41B1942A8B60B2F4C1EC9A7754F3BB4E04C1E20EBC	1920	1080	0.333333333333	0	140
17	green	old	train	train	1	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\ccpd_green_train_0216015625-90_268-177&441_429&527-428&516_177&527_179&441_429&441-0_0_3_24_30_25_29_25-119-66.jpg	finetune_quant_dataset/quant_0017.jpg	1496022CB9C02D274E7DCA8D9A65A3546F4ADAEAC31853D7C4E9456033125915	720	1160	0.551724137931	121	0
18	green	old	train	train	1	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\ccpd_green_train_027434895833333334-89_254-178&453_472&547-472&546_201&547_178&460_456&453-0_0_3_17_25_28_30_33-121-175.jpg	finetune_quant_dataset/quant_0018.jpg	65EB1C7382D3B38A2C7BDC82CFD0B79F579A2ACFE1A789B749A266FE0B040B1B	720	1160	0.551724137931	121	0
19	blue	old	train	train	0	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\ccpd_blue_ccpd_tilt_0819-18_48-194&464_538&663-538&663_256&570_194&464_476&557-0_0_10_31_24_24_10-66-103.jpg	finetune_quant_dataset/quant_0019.jpg	F29441160AE258D8FB5D404E89C32218FD12C2F4D2169A9F7B07F8B67253D74B	720	1160	0.551724137931	121	0
20	green	old	train	train	1	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_format\images\train\ccpd_green_train_0347580295139-88_93-179&447_490&560-489&544_179&560_181&454_490&447-0_0_3_26_24_30_27_27-99-17.jpg	finetune_quant_dataset/quant_0020.jpg	B0AC574F28410CD8ECFE3A7B4395B39C7556C7603EBD18E2FF2E58DCCAF60CBB	720	1160	0.551724137931	121	0
