selection_index	primary_class_id	primary_class	class_ids	classes	source_kind	source_partition	source_image	dataset_image	calibration_hardlink	label_path	box_count	short_side_640	tilt_deg	size_quartile	angle_bin
0	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\00382183908046-87_91-392&501_491&548-484&539_392&557_394&517_486&499-0_0_9_32_32_31_9-95-26.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_00382183908046-87_91-392&501_491&548-484&539_392&557_394&517_486&499-0_0_9_32_32_31_9-95-26.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0000.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_00382183908046-87_91-392&501_491&548-484&539_392&557_394&517_486&499-0_0_9_32_32_31_9-95-26.txt	1	22.096054	11.070712	1	5-15
1	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\00555555555555-92_85-306&395_436&448-426&447_309&433_314&390_431&404-0_10_32_33_30_27_26-101-12.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_00555555555555-92_85-306&395_436&448-426&447_309&433_314&390_431&404-0_10_32_33_30_27_26-101-12.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0001.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_00555555555555-92_85-306&395_436&448-426&447_309&433_314&390_431&404-0_10_32_33_30_27_26-101-12.txt	1	23.883986	6.823482	1	5-15
2	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\00568965517241-92_79-469&436_607&486-601&489_473&480_474&439_602&448-0_0_26_27_7_29_25-126-7.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_00568965517241-92_79-469&436_607&486-601&489_473&480_474&439_602&448-0_0_26_27_7_29_25-126-7.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0002.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_00568965517241-92_79-469&436_607&486-601&489_473&480_474&439_602&448-0_0_26_27_7_29_25-126-7.txt	1	22.627528	4.022181	1	0-5
3	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\00597701149426-90_92-265&522_401&573-400&570_273&573_273&530_400&527-0_0_13_26_30_33_31-118-47.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_00597701149426-90_92-265&522_401&573-400&570_273&573_273&530_400&527-0_0_13_26_30_33_31-118-47.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0003.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_00597701149426-90_92-265&522_401&573-400&570_273&573_273&530_400&527-0_0_13_26_30_33_31-118-47.txt	1	23.724160	1.353606	1	0-5
4	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\00621048850574-90_90-303&419_450&470-451&466_305&466_306&417_452&417-0_0_12_22_26_26_32-172-11.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_00621048850574-90_90-303&419_450&470-451&466_305&466_306&417_452&417-0_0_12_22_26_26_32-172-11.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0004.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_00621048850574-90_90-303&419_450&470-451&466_305&466_306&417_452&417-0_0_12_22_26_26_32-172-11.txt	1	27.039870	0.000000	1	0-5
5	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\00784482758621-85_94-330&450_465&523-465&502_347&516_342&469_460&455-0_0_8_5_30_31_26-107-14.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_00784482758621-85_94-330&450_465&523-465&502_347&516_342&469_460&455-0_0_8_5_30_31_26-107-14.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0005.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_00784482758621-85_94-330&450_465&523-465&502_347&516_342&469_460&455-0_0_8_5_30_31_26-107-14.txt	1	26.077821	6.766189	1	5-15
6	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0102969348659-90_86-232&513_431&571-436&580_234&583_233&515_435&512-0_0_31_30_0_31_31-108-19.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0102969348659-90_86-232&513_431&571-436&580_234&583_233&515_435&512-0_0_31_30_0_31_31-108-19.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0006.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0102969348659-90_86-232&513_431&571-436&580_234&583_233&515_435&512-0_0_31_30_0_31_31-108-19.txt	1	37.520857	0.851124	2	0-5
7	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0150862068966-87_87-251&370_480&439-483&430_250&448_244&374_477&356-0_0_10_23_33_24_33-138-23.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0150862068966-87_87-251&370_480&439-483&430_250&448_244&374_477&356-0_0_10_23_33_24_33-138-23.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0007.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0150862068966-87_87-251&370_480&439-483&430_250&448_244&374_477&356-0_0_10_23_33_24_33-138-23.txt	1	40.961493	4.417442	2	0-5
8	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0193163314176-93_93-282&532_529&618-521&632_269&603_278&516_530&545-0_0_30_20_30_31_33-105-43.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0193163314176-93_93-282&532_529&618-521&632_269&603_278&516_530&545-0_0_30_20_30_31_33-105-43.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0008.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0193163314176-93_93-282&532_529&618-521&632_269&603_278&516_530&545-0_0_30_20_30_31_33-105-43.txt	1	48.256154	6.564684	2	5-15
9	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0202777777778-90_90-233&459_504&548-503&549_228&552_231&458_506&455-1_0_30_24_21_26_33-177-12.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0202777777778-90_90-233&459_504&548-503&549_228&552_231&458_506&455-1_0_30_24_21_26_33-177-12.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0009.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0202777777778-90_90-233&459_504&548-503&549_228&552_231&458_506&455-1_0_30_24_21_26_33-177-12.txt	1	51.888157	0.625211	3	0-5
